"subjId";"day";"clo";"time";"nobs";"sex";"tOut";"tInOp"
"80";"33";"2";0;6.66666666666667;5;"male";13.8497333333333;27.4732802533333
"81";"34";"2";2;6.73333333333333;5;"male";27.006533335;24.5641437433333
"82";"35";"2";2;6.86666666666667;5;"female";23.5252277783333;28.6923333083333
"83";"36";"2";1;6.73333333333334;5;"male";22.8525777783333;24.5611889516667
"84";"37";"2";0;6.75000000000001;5;"female";19.6176611116667;25.8691435733333
"85";"38";"2";0;6.63333333333332;5;"male";19.440094445;27.3313639733333
"86";"39";"2";0;6.69999999999999;5;"female";17.23935;26.5987920366667
"87";"40";"2";0;6.68333333333332;5;"female";29.75765;27.2350027066667
"88";"41";"2";2;6.66666666666667;5;"male";18.8274861116667;24.454828865
"89";"42";"2";1;6.73333333333334;5;"female";23.4702333333333;28.70923633
"90";"43";"2";0;6.6;5;"male";28.03813611;29.5263045966667
"91";"44";"2";2;6.64999999999999;5;"male";18.9407833333333;26.7470361316667
"92";"45";"2";1;6.71666666666667;5;"male";22.3441916666667;26.3853442766667
"93";"46";"2";2;6.78333333333334;5;"female";23.1219638883333;26.46264693
"94";"47";"2";0;7.15;5;"female";26.950119445;27.3055728333333
"95";"1";"3";0;6.68333333333334;5;"female";19.2781999983333;25.5657670166667
"96";"2";"3";0;6.83333333333333;5;"female";26.161916665;26.8237018383333
"97";"3";"3";2;6.56666666666667;5;"female";18.35086111;25.0093080533333
"98";"4";"3";0;6.75000000000001;5;"female";24.0183166683333;26.37070072
"99";"5";"3";0;6.63333333333333;5;"male";23.57526389;27.5752713066667
"100";"6";"3";1;6.8;5;"female";29.0966472233333;29.5539744883333
"101";"7";"3";0;6.83333333333334;5;"female";27.4464888883333;28.1362729566667
"102";"9";"3";1;6.73333333333332;5;"female";22.8415916666667;27.13767096
"103";"10";"3";0;6.78333333333334;5;"female";28.05423611;29.5026436833333
"104";"11";"3";2;6.78333333333334;5;"female";13.8529333333333;25.5714953816667
"105";"12";"3";1;6.76666666666667;5;"male";27.1048722216667;25.81873945
"106";"13";"3";0;6.78333333333334;5;"male";29.70515;25.0384786666667
"107";"14";"3";2;6.71666666666667;5;"female";24.0307916666667;27.2816069716667
"108";"15";"3";0;7.01666666666666;5;"female";13.437575;24.854984555
"109";"16";"3";1;6.71666666666667;5;"male";27.7466166666667;28.5112033633333
"110";"19";"3";0;6.71666666666666;5;"male";15.91396111;26.1382217983333
"111";"20";"3";2;6.75000000000001;5;"male";18.3662333333333;25.60181913
"112";"21";"3";0;6.98333333333334;5;"female";20.0278083333333;27.1630838833333
"113";"22";"3";0;6.74999999999999;5;"male";24.154719445;27.251636465
"114";"23";"3";0;6.65000000000001;5;"male";24.1890388883333;26.42395666
"115";"24";"3";0;6.76666666666667;5;"male";23.1795611116667;25.930044235
"116";"25";"3";0;6.73333333333334;5;"male";18.900525;27.0395069266667
"117";"26";"3";0;6.76666666666666;5;"male";16.8139722216667;23.1129581266667
"118";"27";"3";1;6.65;5;"female";16.266069445;25.6068715666667
"119";"28";"3";1;6.76666666666666;5;"female";17.7948;27.25904927
"120";"29";"3";0;7.00000000000001;5;"male";24.0999472233333;27.3732638216667
"121";"30";"3";0;6.71666666666666;5;"female";18.2671416666667;26.1525582633333
"122";"31";"3";1;6.73333333333334;5;"female";16.2509583333333;26.312058595
"123";"32";"3";0;6.83333333333334;5;"male";24.1038416666667;27.2734032716667
"124";"33";"3";0;6.70000000000001;5;"male";22.6931277783333;27.630723475
"125";"35";"3";4;6.73333333333333;5;"female";25.7843388883333;29.1319925633333
"126";"37";"3";1;6.7;5;"female";18.1569083316667;25.3520931433333
"127";"38";"3";0;6.68333333333334;5;"male";23.493275;27.5685874866667
"128";"39";"3";2;6.76666666666667;5;"female";18.9039916666667;27.5192017416667
"129";"40";"3";0;6.76666666666667;5;"female";33.0813027783333;27.4351051866667
"130";"41";"3";0;6.71666666666666;5;"male";20.7672916666667;25.4847700433333
"131";"42";"3";2;6.93333333333333;5;"female";25.8186222216667;27.61210376
"132";"43";"3";0;6.53333333333334;5;"male";26.294225;28.8377573516667
"133";"44";"3";2;6.69999999999999;5;"male";22.8438277783333;26.7488382283333
"134";"47";"3";0;6.66666666666667;5;"female";24.5701555533333;26.84717959
"135";"5";"4";1;6.91666666666667;5;"male";18.6409333333333;28.01322642
"136";"26";"4";0;1.53333333333333;1;"male";24.989666665;27.887417255
