"subjId","day","clo","tOut","tInOp","sex"
51,3,0.805,22.8415916666667,27.13767096,"female"
55,3,0.34,28.05423611,29.5026436833333,"female"
57,3,0.613333333333333,13.8529333333333,25.5714953816667,"female"
59,3,0.586666666666667,27.1048722216667,25.81873945,"male"
61,3,0.34,29.70515,25.0384786666667,"male"
63,3,0.541666666666667,24.0307916666667,27.2816069716667,"female"
65,3,0.83,13.437575,24.854984555,"female"
69,3,0.256666666666667,27.7466166666667,28.5112033633333,"male"
85,3,0.55,15.91396111,26.1382217983333,"male"
87,3,0.553333333333333,18.3662333333333,25.60181913,"male"
89,3,0.58,20.0278083333333,27.1630838833333,"female"
91,3,0.51,24.154719445,27.251636465,"male"
93,3,0.47,24.1890388883333,26.42395666,"male"
99,3,0.47,23.1795611116667,25.930044235,"male"
105,3,0.48,18.900525,27.0395069266667,"male"
